factor_id,unit,stressor,extension
406,kg CO2-eq,HFC - air,air_emissions
407,kg CO2-eq,PFC - air,air_emissions
408,kg,CH4 - agriculture - air,air_emissions
409,kg,CO2 - agriculture - peat decay - air,air_emissions
410,kg,N2O - agriculture - air,air_emissions
411,kg,NH3 - agriculture - air,air_emissions
412,kg,NOX - agriculture - air,air_emissions
413,kg,CH4 - waste - air,air_emissions
414,kg,CO - waste - air,air_emissions
415,kg,CO2 - waste - biogenic - air,air_emissions
416,kg,CO2 - waste - fossil - air,air_emissions
417,kg,NH3 - waste - air,air_emissions
418,kg,NOX - waste - air,air_emissions
419,kg,PM2.5 - waste - air,air_emissions
420,kg,SOx - waste - air,air_emissions
421,km2,Artificial Surfaces,land
422,km2,Cropland - cropped area - Cereal grains nec,land
423,km2,Cropland - cropped area - Crops nec,land
424,km2,Cropland - cropped area - Oil seeds,land
425,km2,Cropland - cropped area - Paddy rice,land
426,km2,Cropland - cropped area - Plant-based fibers,land
427,km2,"Cropland - cropped area - Sugar cane, sugar beet",land
428,km2,"Cropland - cropped area - Vegetables, fruit, nuts",land
429,km2,Cropland - cropped area - Wheat,land
430,km2,Cropland - fallowed area - Cereal grains nec,land
431,km2,Cropland - fallowed area - Crops nec,land
432,km2,Cropland - fallowed area - Oil seeds,land
433,km2,Cropland - fallowed area - Paddy rice,land
434,km2,Cropland - fallowed area - Plant-based fibers,land
435,km2,"Cropland - fallowed area - Sugar cane, sugar beet",land
436,km2,"Cropland - fallowed area - Vegetables, fruit, nuts",land
437,km2,Cropland - fallowed area - Wheat,land
438,km2,Cropland - fallowed area-Cattle,land
439,km2,Cropland - fallowed area-Meat animals nec,land
440,km2,Cropland - fallowed area-Pigs,land
441,km2,Cropland - fallowed area-Poultry,land
442,km2,Cropland - fallowed area-Raw milk,land
443,km2,Forest,land
444,km2,Permanent pastures - Grazing-Cattle,land
445,km2,Permanent pastures - Grazing-Meat animals nec,land
446,km2,Permanent pastures - Grazing-Raw milk,land
447,kt,Domestic Extraction Used - Primary Crops - Rice,material
448,kt,Domestic Extraction Used - Primary Crops - Wheat,material
449,kt,Domestic Extraction Used - Primary Crops - Cereals n.e.c.,material
450,kt,Domestic Extraction Used - Primary Crops - Roots and tubers,material
451,kt,Domestic Extraction Used - Primary Crops - Pulses,material
452,kt,Domestic Extraction Used - Primary Crops - Nuts,material
453,kt,Domestic Extraction Used - Primary Crops - Vegetables,material
454,kt,Domestic Extraction Used - Primary Crops - Fruits,material
455,kt,Domestic Extraction Used - Primary Crops - Oil bearing crops,material
456,kt,Domestic Extraction Used - Primary Crops - Sugar crops,material
457,kt,Domestic Extraction Used - Primary Crops - Fibres,material
458,kt,Domestic Extraction Used - Primary Crops - Spice - beverage - pharmaceutical crops,material
459,kt,Domestic Extraction Used - Primary Crops - Tobacco,material
460,kt,Domestic Extraction Used - Crop residues - Straw,material
461,kt,Domestic Extraction Used - Crop residues - Other crop residues (sugar and fodder beet leaves etc),material
462,kt,Domestic Extraction Used - Fodder crops (including biomass harvest from grassland),material
463,kt,Domestic Extraction Used - Grazed biomass,material
464,kt,Domestic Extraction Used - Forestry - Other crops n.e.c,material
465,kt,Domestic Extraction Used - Forestry - Timber (Industrial roundwood),material
466,kt,Domestic Extraction Used - Forestry - Wood fuel and other extraction,material
467,kt,Domestic Extraction Used - Fishery - Wild fish catch,material
468,kt,Domestic Extraction Used - Fishery - All other aquatic animals,material
469,kt,Domestic Extraction Used - Fishery - Aquatic plants,material
470,kt,Domestic Extraction Used - Fossil Fuels - Anthracite,material
471,kt,Domestic Extraction Used - Fossil Fuels - Coking Coal,material
472,kt,Domestic Extraction Used - Fossil Fuels - Other Bituminous Coal,material
473,kt,Domestic Extraction Used - Fossil Fuels - Other Sub-Bituminous Coal,material
474,kt,Domestic Extraction Used - Fossil Fuels - Lignite (brown coal),material
475,kt,Domestic Extraction Used - Fossil Fuels - Peat,material
476,kt,Domestic Extraction Used - Fossil Fuels - Crude oil,material
477,kt,Domestic Extraction Used - Fossil Fuels - Oil shale and tar sands,material
478,kt,Domestic Extraction Used - Fossil Fuels - Natural gas,material
479,kt,Domestic Extraction Used - Fossil Fuels - Natural gas liquids,material
480,kt,Domestic Extraction Used - Metal Ores - Uranium ores,material
481,kt,Domestic Extraction Used - Metal Ores - Iron ores,material
482,kt,Domestic Extraction Used - Metal Ores - Copper ores,material
483,kt,Domestic Extraction Used - Metal Ores - Nickel ores,material
484,kt,Domestic Extraction Used - Metal Ores - Bauxite and other aluminium ores - gross ore,material
485,kt,Domestic Extraction Used - Metal Ores - Silver ores,material
486,kt,Domestic Extraction Used - Metal Ores - Gold ores,material
487,kt,Domestic Extraction Used - Metal Ores - Platinum group metal ores,material
488,kt,Domestic Extraction Used - Metal Ores - Lead ores,material
489,kt,Domestic Extraction Used - Metal Ores - Tin ores,material
490,kt,Domestic Extraction Used - Metal Ores - Zinc ores,material
491,kt,Domestic Extraction Used - Metal Ores - Chromium ores,material
492,kt,Domestic Extraction Used - Metal Ores - Manganese ores,material
493,kt,Domestic Extraction Used - Metal Ores - Other metal ores,material
494,kt,Domestic Extraction Used - Metal Ores - Titanium ores,material
495,kt,Domestic Extraction Used - Non-Metallic Minerals - Ornamental or building stone,material
496,kt,Domestic Extraction Used - Non-Metallic Minerals - Chalk,material
497,kt,Domestic Extraction Used - Non-Metallic Minerals - Dolomite,material
498,kt,Domestic Extraction Used - Non-Metallic Minerals - Limestone,material
499,kt,Domestic Extraction Used - Non-Metallic Minerals - Gypsum,material
500,kt,Domestic Extraction Used - Non-Metallic Minerals - Structural clays,material
501,kt,Domestic Extraction Used - Non-Metallic Minerals - Specialty clays,material
502,kt,Domestic Extraction Used - Non-Metallic Minerals - Industrial sand and gravel,material
503,kt,Domestic Extraction Used - Non-Metallic Minerals - Sand gravel and crushed rock for construction,material
504,kt,Domestic Extraction Used - Non-Metallic Minerals - Fertilizer minerals n.e.c.,material
505,kt,Domestic Extraction Used - Non-Metallic Minerals - Chemical minerals n.e.c.,material
506,kt,Domestic Extraction Used - Non-Metallic Minerals - Industrial minerals n.e.c,material
507,kt,Domestic Extraction Used - Non-Metallic Minerals - Salt,material
508,kt,Domestic Extraction Used - Non-Metallic Minerals - Other non-metallic minerals n.e.c.,material
901,kg,Carbon dioxide,air_emissions
902,kg,Methane,air_emissions
903,kg,Nitrous oxide,air_emissions
904,kg,Sulfur hexafluoride,air_emissions
905,kg,"HFCs and PFCs, unspecified",air_emissions
906,1000 persons,"Employment (people, jobs-scope — see exiobase_factors.py)",employment
907,terajoules,"Energy (gross use, ENRG-scope — see exiobase_factors.py)",energy
908,km2,"Land (total, LAND-scope — see exiobase_factors.py)",land
909,kilotonnes,"Material (metals and minerals, MNRL-scope — see exiobase_factors.py)",material
910,Mm3,"Water (blue withdrawal, WATR-scope — see exiobase_factors.py)",water
