trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
130142,FR,SI,VEGET,EDUCA,0.01,2231.855,3,3,2231.855,0.0,0.0,0.0,0.0,223185.5
19917,FR,CA,MACHI,CATTL,0.02,2231.728,3,3,2231.728,0.0,0.0,0.0,0.0,111586.4
57680,FR,FI,WOOD1,COMPU,0.01,2231.635,3,3,2231.635,0.0,0.0,0.0,0.0,223163.5
86479,FR,JP,MACHI,STEAM,0.02,2231.479,3,3,2231.479,0.0,0.0,0.0,0.0,111573.95
134137,FR,TR,FINAN,FISHF,0.04,2231.332,3,3,2231.332,0.0,0.0,0.0,0.0,55783.3
141592,FR,US,MEAT4,MEMBE,0.01,2231.292,3,3,2231.292,0.0,0.0,0.0,0.0,223129.2
96513,FR,LV,BUSIN,TRAN1,0.03,2231.276,3,3,2231.276,0.0,0.0,0.0,0.0,74375.866667
82635,FR,IT,PRINT,GLASS,0.04,2231.274,3,3,2231.274,0.0,0.0,0.0,0.0,55781.85
31890,FR,CY,MACHI,PRINT,0.02,2231.188,3,3,2231.188,0.0,0.0,0.0,0.0,111559.4
170998,FR,WM,SALEM,COLLE,0.02,2231.004,3,3,2231.004,0.0,0.0,0.0,0.0,111550.2
94767,FR,LU,INTER,SALEM,0.01,2230.933,3,3,2230.933,0.0,0.0,0.0,0.0,223093.3
47729,FR,ES,AUXIL,HOTEL,0.04,2230.889,3,3,2230.889,0.0,0.0,0.0,0.0,55772.225
92046,FR,LT,BUSIN,EDUCA,0.03,2230.771,3,3,2230.771,0.0,0.0,0.0,0.0,74359.033333
5660,FR,AU,SUPPO,CEREA,0.02,2230.666,3,3,2230.666,0.0,0.0,0.0,0.0,111533.3
32568,FR,CZ,BEVER,RAILW,0.01,2230.639,3,3,2230.639,0.0,0.0,0.0,0.0,223063.9
163568,FR,WL,PAPE1,NONME,0.01,2230.602,3,3,2230.602,0.0,0.0,0.0,0.0,223060.2
103266,FR,NL,INERT,CHEM1,0.01,2230.54,3,3,2230.54,0.0,0.0,0.0,0.0,223054.0
152034,FR,WE,INTER,WEARI,0.01,2230.189,3,3,2230.189,0.0,0.0,0.0,0.0,223018.9
84940,FR,JP,BUSIN,BLAST,0.03,2230.077,3,3,2230.077,0.0,0.0,0.0,0.0,74335.9
99220,FR,MX,FABRI,FORES,0.01,2230.044,3,3,2230.044,0.0,0.0,0.0,0.0,223004.4
95747,FR,LU,RENTI,RETA1,0.02,2229.902,3,3,2229.902,0.0,0.0,0.0,0.0,111495.1
114490,FR,PT,CHEM1,OILHA,0.01,2229.901,3,3,2229.901,0.0,0.0,0.0,0.0,222990.1
34457,FR,CZ,OILHA,PREC1,0.01,2229.712,3,3,2229.712,0.0,0.0,0.0,0.0,222971.2
91759,FR,KR,WEARI,NICKE,0.03,2229.655,3,3,2229.655,0.0,0.0,0.0,0.0,74321.833333
33984,FR,CZ,MACHI,COALT,0.02,2229.591,3,3,2229.591,0.0,0.0,0.0,0.0,111479.55
85497,FR,JP,DAIRY,OFFIC,0.01,2229.387,3,3,2229.387,0.0,0.0,0.0,0.0,222938.7
143398,FR,US,SUPPO,NONSP,0.02,2229.096,3,3,2229.096,0.0,0.0,0.0,0.0,111454.8
7944,FR,BE,ELEC5,PAPE1,0.01,2228.94,3,3,2228.94,0.0,0.0,0.0,0.0,222894.0
63004,FR,GR,COMPU,ELEC4,0.04,2228.921,3,3,2228.921,0.0,0.0,0.0,0.0,55723.025
149207,FR,WA,RETAI,HOTEL,0.02,2228.876,3,3,2228.876,0.0,0.0,0.0,0.0,111443.8
42992,FR,DE,VEGET,POULT,0.01,2228.676,3,3,2228.676,0.0,0.0,0.0,0.0,222867.6
63945,FR,GR,MACHI,VEGET,0.02,2228.609,3,3,2228.609,0.0,0.0,0.0,0.0,111430.45
141718,FR,US,MOTO1,SEACO,0.01,2228.541,3,3,2228.541,0.0,0.0,0.0,0.0,222854.1
17198,FR,BR,MOTO1,FOUND,0.01,2228.293,3,3,2228.293,0.0,0.0,0.0,0.0,222829.3
140804,FR,US,HEALT,BUSIN,0.05,2228.292,3,3,2228.292,0.0,0.0,0.0,0.0,44565.84
143735,FR,US,WOOD2,CRUDE,0.01,2228.254,3,3,2228.254,0.0,0.0,0.0,0.0,222825.4
149213,FR,WA,RETAI,PAPER,0.02,2228.238,3,3,2228.238,0.0,0.0,0.0,0.0,111411.9
19089,FR,CA,CONST,CONST,0.01,2228.042,3,3,2228.042,0.0,0.0,0.0,0.0,222804.2
