trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
120078,2759.01,6.5e-05,0.008207,43,0.218003
80999,5343.4,3.4e-05,0.015895,38,0.26853
71766,3518.97,5.1e-05,0.010468,44,0.022309
117828,219.41,0.00082,0.000653,30,0.033988
107939,326.38,0.000552,0.000971,33,0.10799
115965,934.33,0.000193,0.002779,40,0.175579
48473,781.76,0.00023,0.002326,45,0.007115
82274,132.04,0.001363,0.000393,45,0.002523
41322,1579.11,0.000114,0.004697,45,0.006045
4281,1767.99,0.000102,0.005259,45,0.044728
14655,4503.58,4e-05,0.013397,45,0.00429
54734,9242.3,1.9e-05,0.027493,42,0.03154
48576,966.2,0.000186,0.002874,43,0.02435
51047,1514.81,0.000119,0.004506,43,0.019632
42987,1363.54,0.000132,0.004056,44,0.003963
53326,1767.99,0.000102,0.005259,45,0.044728
3608,4503.58,4e-05,0.013397,45,0.00429
14126,325.5,0.000553,0.000968,45,0.070947
64794,171.0,0.001053,0.000509,44,0.011191
64256,966.2,0.000186,0.002874,43,0.02435
20774,1363.54,0.000132,0.004056,44,0.003963
86065,9249.33,1.9e-05,0.027514,45,0.006681
111868,1651.48,0.000109,0.004913,45,0.01258
28881,9897.74,1.8e-05,0.029443,43,0.039485
69278,1138.49,0.000158,0.003387,45,0.006017
88653,171.0,0.001053,0.000509,44,0.011191
47628,1138.49,0.000158,0.003387,45,0.006017
104269,24340.51,7e-06,0.072407,42,0.004677
118059,859.75,0.000209,0.002558,41,0.09672
115167,1204.01,0.00015,0.003582,45,0.010253
12400,1651.48,0.000109,0.004913,45,0.01258
19117,1460.4,0.000123,0.004344,7,0.094848
60985,1138.49,0.000158,0.003387,45,0.006017
52746,1651.48,0.000109,0.004913,45,0.01258
2050,4503.58,4e-05,0.013397,45,0.00429
117556,16163.5,1.1e-05,0.048082,42,0.013194
78033,22235.86,8e-06,0.066146,44,0.038118
114341,1017.01,0.000177,0.003025,29,0.012585
70548,10678.08,1.7e-05,0.031765,43,0.00664
5222,219.41,0.00082,0.000653,30,0.033988
113626,1667.68,0.000108,0.004961,42,0.005249
933,16163.5,1.1e-05,0.048082,42,0.013194
119866,834.99,0.000216,0.002484,42,0.102144
107835,326.38,0.000552,0.000971,33,0.10799
40904,3399.5,5.3e-05,0.010113,44,0.011416
87208,21.48,0.00838,6.4e-05,37,0.01341
104935,337.87,0.000533,0.001005,32,0.048678
23240,1238.25,0.000145,0.003683,45,0.016745
94620,9249.33,1.9e-05,0.027514,45,0.006681
51653,1017.01,0.000177,0.003025,29,0.012585
51810,1579.11,0.000114,0.004697,45,0.006045
38172,1836.6,9.8e-05,0.005463,45,0.00693
40715,9242.3,1.9e-05,0.027493,42,0.03154
19315,502.28,0.000358,0.001494,44,0.06417
35261,9897.74,1.8e-05,0.029443,43,0.039485
42320,10678.08,1.7e-05,0.031765,43,0.00664
51622,1017.01,0.000177,0.003025,29,0.012585
89076,8961.37,2e-05,0.026658,16,0.039461
14755,1651.48,0.000109,0.004913,45,0.01258
2032,9897.74,1.8e-05,0.029443,43,0.039485
14325,2572.66,7e-05,0.007653,45,0.014234
