trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
56218,FR,IT,ALUM1,ALUM1,175.76,0,0
58468,FR,IT,FABRI,MACHI,175.73,0,0
163457,WL,IT,PRIVA,REALE,175.43,0,0
29343,CN,IT,OFFIC,COMPU,175.39,0,0
167119,WM,IT,HOTEL,REALE,175.24,0,0
156904,WF,IT,CRUDE,HEAVY,174.32,0,0
119698,RO,IT,LEATH,LEATH,173.71,0,0
150372,WA,IT,TEXTI,WEARI,173.01,0,0
146784,WA,IT,CRUDE,PFERT,172.41,0,0
37312,DE,IT,COPP1,BASIC,172.31,0,0
132199,SI,IT,WOODW,CONST,172.3,0,0
94412,LT,IT,LANDT,LANDT,171.78,0,0
167073,WM,IT,HOTEL,HEALT,170.6,0,0
36646,DE,IT,BUSIN,CONST,170.14,0,0
81995,IE,IT,INSUR,LANDT,170.05,0,0
142739,US,IT,HOTEL,AUXIL,169.78,0,0
159454,WF,IT,PRIVA,REALE,168.99,0,0
63912,GB,IT,BASIC,FABRI,168.7,0,0
122837,RU,IT,GASDI,WHOLE,168.49,0,0
44153,DK,IT,FISH5,FOOD5,167.92,0,0
64203,GB,IT,BUSIN,RETA1,167.23,0,0
80783,IE,IT,AIRTR,SUPPO,166.87,0,0
36353,DE,IT,BASIC,MOTO1,166.73,0,0
168025,WM,IT,NATU1,MOTOR,166.42,0,0
27766,CN,IT,ELECT,MACHI,166.27,0,0
125218,SE,IT,COPP1,REALE,166.03,0,0
27908,CN,IT,FABRI,MOTO1,165.02,0,0
169446,WM,IT,RUBBE,CONST,164.82,0,0
156118,WF,IT,ALUM1,FABRI,164.64,0,0
52671,ES,IT,TEXTI,TEXTI,163.51,0,0
36645,DE,IT,BUSIN,COMPU,163.49,0,0
103018,NL,IT,FOOD5,FOOD5,162.95,0,0
146759,WA,IT,CRUDE,LUBRI,162.35,0,0
77820,HU,IT,SUPPO,LANDT,161.59,0,0
102042,NL,IT,BUSIN,RETA1,160.99,0,0
47324,ES,IT,AIRTR,PUBLI,160.18,0,0
59424,FR,IT,HOTEL,AUXIL,159.66,0,0
141960,US,IT,CRUDE,ELECT,159.21,0,0
120947,RO,IT,RUBBE,RUBBE,159.17,0,0
8432,BE,IT,DAIRY,DAIRY,158.99,0,0
166186,WM,IT,FABRI,MACHI,158.69,0,0
47553,ES,IT,BASIC,CONST,158.67,0,0
25855,CH,IT,SEACO,SUPPO,158.65,0,0
81269,IE,IT,COMPU,FINAN,158.6,0,0
45471,DK,IT,SEACO,LANDT,158.56,0,0
40337,DE,IT,MEATP,HOTEL,157.81,0,0
146788,WA,IT,CRUDE,PLAST,157.71,0,0
49783,ES,IT,HOTEL,REALE,157.08,0,0
56882,FR,IT,CATTL,FOOD5,157.01,0,0
164730,WM,IT,ALUM1,FABRI,155.78,0,0
37659,DE,IT,ELEC1,DISTR,155.75,0,0
39989,DE,IT,LEATH,LEATH,155.54,0,0
42789,DE,IT,SUPPO,LANDT,155.49,0,0
150672,WA,IT,WEARI,WEARI,155.37,0,0
30921,CN,IT,WOODW,CONST,154.8,0,0
133432,SK,IT,MACHI,MACHI,154.41,0,0
113573,PL,IT,RUBBE,CONST,154.11,0,0
49738,ES,IT,HOTEL,HEALT,152.92,0,0
26109,CH,IT,TEXTI,TEXTI,152.39,0,0
110783,PL,IT,FABRI,MACHI,151.97,0,0
91362,KR,IT,CONST,CONST,151.24,0,0
32383,CZ,IT,BASIC,FABRI,151.13,0,0
60504,FR,IT,MOTO1,SALEM,150.94,0,0
134949,TR,IT,BASIC,MACHI,150.5,0,0
3385,AT,IT,PLAST,RUBBE,150.46,0,0
22641,CH,IT,DAIRY,DAIRY,150.45,0,0
36293,DE,IT,BASIC,BUSIN,149.97,0,0
25140,CH,IT,RAILW,RAILW,149.57,0,0
24734,CH,IT,PLAST,PLAST,149.43,0,0
166746,WM,IT,GASDI,LANDT,149.07,0,0
5954,AU,IT,HOTEL,CONST,149.01,0,0
131211,SI,IT,PLAST,RUBBE,148.87,0,0
58695,FR,IT,FISH5,HOTEL,148.76,0,0
24016,CH,IT,LEATH,LEATH,148.7,0,0
25264,CH,IT,REALE,RETA1,148.46,0,0
23812,CH,IT,LANDT,DIST1,147.97,0,0
56752,FR,IT,BUSIN,BUSIN,147.95,0,0
26370,CH,IT,WHOLE,WHOLE,147.74,0,0
156306,WF,IT,BASIC,FABRI,147.28,0,0
141368,US,IT,BUSIN,RETA1,147.15,0,0
75590,HU,IT,CEREA,RAWMI,146.7,0,0
160628,WF,IT,WOODW,CONST,146.6,0,0
65381,GB,IT,HOTEL,AUXIL,146.53,0,0
61785,FR,IT,RAILW,RAILW,146.37,0,0
52548,ES,IT,SUPPO,LANDT,146.23,0,0
53319,FI,IT,BASIC,FABRI,146.13,0,0
149980,WA,IT,RUBBE,RUBBE,146.0,0,0
55849,FI,IT,TRANS,TRANS,145.78,0,0
123419,RU,IT,NAPHT,PLAST,145.6,0,0
52281,ES,IT,RUBBE,RUBBE,144.63,0,0
22943,CH,IT,FOOD5,FOOD5,144.54,0,0
119580,RO,IT,LANDT,LANDT,144.0,0,0
150232,WA,IT,SUPPO,LANDT,143.9,0,0
57838,FR,IT,ELEC3,DISTR,143.85,0,0
78551,ID,IT,BASIC,BASIC,142.99,0,0
148207,WA,IT,LEATH,LEATH,142.64,0,0
95757,LU,IT,FINAN,WHOLE,142.55,0,0
56768,FR,IT,BUSIN,EDUCA,142.43,0,0
121143,RO,IT,TEXTI,TEXTI,142.41,0,0
145235,US,IT,TRANS,TRANS,142.31,0,0
112358,PL,IT,MOTO1,MOTO1,142.09,0,0
23574,CH,IT,HOTEL,REALE,142.07,0,0
75532,HU,IT,CEREA,CATTL,142.02,0,0
29721,CN,IT,PLAST,RUBBE,141.74,0,0
1548,AT,IT,FABRI,MACHI,141.52,0,0
25681,CH,IT,RUBBE,RUBBE,141.27,0,0
50036,ES,IT,LANDT,LANDT,141.23,0,0
104368,NL,IT,NATUR,ELEC2,140.05,0,0
27320,CN,IT,CHEM1,PLAST,139.39,0,0
146515,WA,IT,CONST,CONST,139.03,0,0
141626,US,IT,CHEM1,PLAST,138.37,0,0
23530,CH,IT,HOTEL,HEALT,138.31,0,0
42329,DE,IT,RUBBE,MACHI,137.98,0,0
56249,FR,IT,ALUM1,FABRI,137.94,0,0
65587,GB,IT,INSUR,LANDT,137.76,0,0
36637,DE,IT,BUSIN,BUSIN,137.57,0,0
81624,IE,IT,FINAN,FINAN,137.41,0,0
139193,TW,IT,HOTEL,AUXIL,137.16,0,0
39250,DE,IT,GLASS,GLASS,135.97,0,0
50224,ES,IT,LEATH,LEATH,135.75,0,0
81062,IE,IT,CATTL,MEATC,135.73,0,0
87741,IN,IT,TEXTI,TEXTI,135.41,0,0
65028,GB,IT,FINAN,INSUR,135.28,0,0
165885,WM,IT,CRUDE,NATUR,134.93,0,0
56843,FR,IT,BUSIN,REALE,134.89,0,0
159185,WF,IT,PFERT,VEGET,134.88,0,0
75551,HU,IT,CEREA,FOOD5,134.72,0,0
37776,DE,IT,ELEC2,DISTR,134.69,0,0
50647,ES,IT,MOTO1,SALEM,134.67,0,0
4375,AT,IT,SUPPO,LANDT,134.65,0,0
55826,FI,IT,TRANS,PUBLI,134.4,0,0
64148,GB,IT,BUSIN,HEALT,134.06,0,0
91076,KR,IT,BASIC,MACHI,133.53,0,0
37222,DE,IT,CONST,CONST,133.5,0,0
63886,GB,IT,BASIC,BASIC,133.4,0,0
5236,AU,IT,BITUM,ELEC1,132.73,0,0
64097,GB,IT,BUSIN,AUXIL,132.66,0,0
36653,DE,IT,BUSIN,EDUCA,132.44,0,0
39375,DE,IT,HOTEL,CONST,132.35,0,0
81185,IE,IT,CHEM1,PLAST,132.28,0,0
82760,IE,IT,POSTT,REALE,132.1,0,0
110940,PL,IT,FISH5,HOTEL,132.07,0,0
78007,HU,IT,VEGE1,FOOD5,131.46,0,0
145212,US,IT,TRANS,PUBLI,131.2,0,0
84690,IN,IT,COMPU,COMPU,130.71,0,0
48453,ES,IT,COPP1,REALE,130.55,0,0
38091,DE,IT,ELEC5,DISTR,130.35,0,0
105980,NL,IT,RUBBE,RUBBE,130.3,0,0
156927,WF,IT,CRUDE,NATUR,130.24,0,0
44810,DK,IT,MEATP,HOTEL,129.73,0,0
148049,WA,IT,LANDT,LANDT,129.62,0,0
161546,WL,IT,COPP1,COPP1,129.45,0,0
134907,TR,IT,BASIC,CONST,129.35,0,0
57400,FR,IT,COPP1,COPP1,129.13,0,0
101988,NL,IT,BUSIN,HEALT,129.05,0,0
146615,WA,IT,CROPS,CONST,128.05,0,0
103023,NL,IT,FOOD5,HOTEL,127.95,0,0
165874,WM,IT,CRUDE,LIQUE,127.91,0,0
101937,NL,IT,BUSIN,AUXIL,127.71,0,0
142796,US,IT,HOTEL,LANDT,127.6,0,0
135323,TR,IT,CHEM1,HEALT,127.45,0,0
2398,AT,IT,LANDT,WHOLE,127.42,0,0
146751,WA,IT,CRUDE,KERO1,127.04,0,0
62968,FR,IT,TEXTI,WEARI,126.85,0,0
104010,NL,IT,MACHI,CONST,126.74,0,0
68927,GR,IT,DAIRY,DAIRY,126.63,0,0
953,AT,IT,COPP1,COPP1,126.34,0,0
167024,WM,IT,HOTEL,AUXIL,126.01,0,0
146986,WA,IT,FABRI,MACHI,125.97,0,0
30790,CN,IT,WEARI,WEARI,125.64,0,0
36726,DE,IT,BUSIN,REALE,125.43,0,0
40424,DE,IT,MOTO1,DIST1,123.99,0,0
256,AT,IT,BASIC,FABRI,123.68,0,0
1057,AT,IT,DAIRY,DAIRY,123.63,0,0
168364,WM,IT,OILSE,VEGE1,123.63,0,0
156916,WF,IT,CRUDE,LIQUE,123.46,0,0
