trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
1951,KR,KR,ELEC2,SUPPO,8.44,703553410.964,6,6,83359408.881991
1090,KR,KR,COKE1,BASIC,10.55,700061544.008,6,6,66356544.455735
493,KR,KR,BASIC,ELECT,831.05,687497505.179,6,6,827263.708777
1411,KR,KR,DAIRY,DAIRY,1370.12,681825462.692,6,6,497639.230645
6686,KR,KR,SUGA1,FOOD5,1409.05,679257521.873,6,6,482067.720715
760,KR,KR,BLAST,NAPHT,10.23,678769829.722,6,6,66350911.996285
1895,KR,KR,ELEC2,KERO1,8.12,676886267.708,6,6,83360377.796552
1923,KR,KR,ELEC2,PFERT,8.11,675584764.516,6,6,83302683.664118
3085,KR,KR,FURNI,TEXTI,1400.77,673067394.17,6,6,480498.150424
1770,KR,KR,ELEC1,FINAN,3.74,669618991.409,5,5,179042511.071925
6413,KR,KR,RUBBE,PAPER,1174.26,659081535.172,6,6,561273.938627
1940,KR,KR,ELEC2,REFI1,7.91,658790210.206,6,6,83285740.86043
1056,KR,KR,CHEM1,RADIO,1926.65,658254547.732,6,6,341657.565065
1935,KR,KR,ELEC2,RADIO,7.85,653746624.399,6,6,83279824.764204
3821,KR,KR,KERO1,NAPHT,718.81,648458245.16,6,6,902127.467843
5221,KR,KR,PAPER,OFFIC,659.32,648022094.707,6,6,982864.306721
1789,KR,KR,ELEC1,LIQUE,3.58,640330380.016,5,5,178863234.641341
1776,KR,KR,ELEC1,FURNI,3.58,640125236.513,5,5,178805931.986872
2811,KR,KR,FISH5,HOTEL,1359.27,639480732.455,6,6,470458.946681
3208,KR,KR,GASDI,WHOLE,701.16,632539725.772,6,6,902133.216059
6147,KR,KR,RECRE,RECRE,2191.55,627881937.393,6,6,286501.306104
2606,KR,KR,FABRI,FOOD5,1742.31,622322575.697,6,6,357182.462189
73,KR,KR,93197,PAPER,1327.22,621669488.207,6,6,468399.728912
5834,KR,KR,RAILW,BASIC,1123.5,612529602.171,6,6,545197.687736
1897,KR,KR,ELEC2,LANDT,7.29,607008923.539,6,6,83265970.307133
8,KR,KR,93197,BASIC,1284.41,601616610.15,6,6,468399.195078
1892,KR,KR,ELEC2,HOTEL,7.2,600153426.47,5,5,83354642.565278
5193,KR,KR,PAPER,FURNI,610.55,600090672.672,6,6,982869.007734
819,KR,KR,BUSIN,FINAN,3750.94,596861025.517,6,6,159123.053293
80,KR,KR,93197,PREC1,1273.74,596620266.981,6,6,468400.35406
2837,KR,KR,FOOD5,93197,1037.35,592386536.97,6,6,571057.537928
6372,KR,KR,RUBBE,ELECT,1052.31,590631357.662,6,6,561271.258148
700,KR,KR,BIOG1,GASDI,8.89,589503506.446,6,6,66310855.618223
885,KR,KR,CATTL,CATTL,1515.6,587848598.673,6,6,387865.267005
6174,KR,KR,REFI1,HEAVY,651.5,587738483.851,6,6,902131.210823
3018,KR,KR,FURNI,EDUCA,1216.51,584532832.051,6,6,480499.816731
3962,KR,KR,LANDT,BASIC,1044.05,581778884.633,6,6,557232.780646
1101,KR,KR,COKE1,FOUND,8.75,580367180.389,6,6,66327677.758743
6769,KR,KR,SUPPO,NAPHT,2387.49,580058733.16,6,6,242957.555072
6872,KR,KR,TEXTI,LEATH,1313.01,563731150.361,6,6,429342.61762
50,KR,KR,93197,INSUR,1186.03,555536402.303,6,6,468399.958098
1873,KR,KR,ELEC2,CONST,6.66,554524751.046,5,5,83261974.631532
1931,KR,KR,ELEC2,PRIVA,6.51,542590186.259,5,5,83347186.829339
744,KR,KR,BLAST,BLAST,8.17,541781559.463,6,6,66313532.370012
320,KR,KR,AUXIL,AUXIL,4012.21,534038695.462,6,6,133103.375811
3932,KR,KR,KEROS,PUBLI,588.63,531020398.851,6,6,902129.349253
779,KR,KR,BRICK,RESEA,96.2,523294355.306,6,6,5439650.263056
4057,KR,KR,LANDT,RUBBE,938.15,522767026.003,6,6,557231.813679
1866,KR,KR,ELEC2,CEMEN,6.24,519838123.295,5,5,83307391.553686
775,KR,KR,BRICK,CONST,95.47,519297907.039,6,6,5439383.125998
1828,KR,KR,ELEC1,RECRE,2.86,512689382.875,5,5,179262021.984266
4064,KR,KR,LANDT,TEXTI,919.1,512150645.075,6,6,557230.600669
828,KR,KR,BUSIN,INSUR,3213.38,511322645.05,6,6,159122.993561
2994,KR,KR,FURNI,93197,1061.66,510124203.332,6,6,480496.772349
5624,KR,KR,PRINT,GASDI,742.77,509772356.615,6,6,686312.528259
4827,KR,KR,NICKE,NONF1,694.71,507852193.671,6,6,731027.613927
3123,KR,KR,GASDI,EDUCA,562.45,507401623.886,6,6,902127.520466
523,KR,KR,BASIC,NONME,610.16,504760058.217,6,6,827258.519433
4721,KR,KR,NAPHT,NAPHT,559.08,504365813.685,6,6,902135.318175
92,KR,KR,93197,RUBBE,1073.12,502651016.166,6,6,468401.498589
1756,KR,KR,ELEC1,CERAM,2.8,500749341.84,5,5,178839050.657143
2666,KR,KR,FABRI,TEXTI,1398.02,499345117.116,6,6,357180.238563
5250,KR,KR,PAPER,TOBAC,507.33,498636515.225,6,6,982864.240682
2846,KR,KR,FOOD5,DAIRY,873.0,498535814.212,6,6,571060.497379
5015,KR,KR,NONSP,PLAST,552.25,498199836.707,6,6,902127.363888
4373,KR,KR,MACHI,MEATA,1.04,497469333.647,4,4,478335897.7375
1749,KR,KR,ELEC1,BEVER,2.78,496642771.636,5,5,178648479.005755
802,KR,KR,BUSIN,COMPU,3108.44,494625007.865,6,6,159123.228328
759,KR,KR,BLAST,MOTOR,7.39,490026130.848,6,6,66309354.647903
61,KR,KR,93197,MEMBE,1040.23,487242980.427,6,6,468399.277493
1814,KR,KR,ELEC1,PLAST,2.72,487194116.886,5,5,179115484.149265
3198,KR,KR,GASDI,SUPPO,536.07,483608845.151,6,6,902137.491654
7014,KR,KR,TRAN2,GASDI,1591.7,480732776.816,6,6,302024.738843
3480,KR,KR,HEAVY,KERO1,528.54,476815062.73,6,6,902136.191641
6217,KR,KR,RESEA,BASIC,2181.63,476493875.115,6,6,218411.864118
1328,KR,KR,COPP1,ELECT,879.25,472282311.797,6,6,537142.236903
6891,KR,KR,TEXTI,PAPER,1099.12,471897232.982,6,6,429340.957295
2658,KR,KR,FABRI,RUBBE,1310.81,468198269.47,6,6,357182.405894
3820,KR,KR,KERO1,MOTOR,518.93,468143205.98,6,6,902131.705586
89,KR,KR,93197,RECRE,996.07,466558115.845,6,6,468398.923615
742,KR,KR,BLAST,BIOG1,7.0,464086283.342,6,6,66298040.477429
3524,KR,KR,HEAVY,REFI1,514.41,464067761.528,6,6,902135.964557
3129,KR,KR,GASDI,FISHF,508.55,458776790.924,6,6,902127.206615
180,KR,KR,AIRTR,POSTT,316.25,457938900.976,6,6,1448028.145379
6393,KR,KR,RUBBE,LEATH,804.07,451302552.711,6,6,561272.715946
6605,KR,KR,STEAM,PAPER,32.49,450732533.262,6,6,13872961.934811
6796,KR,KR,SUPPO,RAILW,1849.82,449426079.861,6,6,242956.655167
3992,KR,KR,LANDT,FABRI,803.6,447788015.986,6,6,557227.496249
1934,KR,KR,ELEC2,PULP5,5.37,447309390.865,5,5,83297838.149907
1763,KR,KR,ELEC1,COPP1,2.45,437969955.846,5,5,178763247.284082
3947,KR,KR,KEROS,SUPPO,483.77,436425077.357,6,6,902133.405042
5244,KR,KR,PAPER,RUBBE,443.23,435638162.642,6,6,982871.562489
5678,KR,KR,PRINT,RESEA,627.28,430509866.415,6,6,686312.119652
1894,KR,KR,ELEC2,INSUR,5.15,428969879.111,5,5,83295122.157476
5675,KR,KR,PRINT,RECRE,623.99,428252171.015,6,6,686312.554712
1845,KR,KR,ELEC1,TRANS,2.39,427281511.562,5,5,178778875.130544
6375,KR,KR,RUBBE,FISH5,755.11,423821625.503,6,6,561271.371725
756,KR,KR,BLAST,KEROS,6.34,420387319.925,6,6,66307148.253155
6768,KR,KR,SUPPO,MOTOR,1723.61,418763362.778,6,6,242957.143889
6424,KR,KR,RUBBE,PRINT,740.55,415650055.978,6,6,561272.103137
2702,KR,KR,FINAN,CONST,4327.92,412880497.95,6,6,95399.290641
6336,KR,KR,RUBBE,93197,726.36,407685084.666,6,6,561271.387006
2729,KR,KR,FINAN,HEALT,4262.81,406669228.084,6,6,95399.332385
